"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"11 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","109772.00","110292.00","109644.00","110047.00","110014.00","2239","2239.000 GRMS ","246068.08","5413"
"10 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","109730.00","110419.00","109729.00","110014.00","110088.00","1719","1719.000 GRMS ","189222.14","5211"
"09 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","110047.00","110849.00","109626.00","110088.00","109589.00","3711","3711.000 GRMS ","408865.19","5105"
"08 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","108250.00","109733.00","108118.00","109589.00","108788.00","3239","3239.000 GRMS ","353329.40","4519"
"05 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","107713.00","108840.00","107636.00","108788.00","107404.00","2255","2255.000 GRMS ","244378.05","3762"
"04 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","106999.00","107839.00","106832.00","107404.00","108235.00","1618","1618.000 GRMS ","173569.91","3631"
"03 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","107040.00","108321.00","106900.00","108235.00","106864.00","2187","2187.000 GRMS ","235111.79","3644"
"02 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","105941.00","106955.00","105548.00","106864.00","105776.00","2048","2048.000 GRMS ","217752.20","3324"
"01 Sep 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","105224.00","106539.00","105224.00","105776.00","104857.00","1428","1428.000 GRMS ","151235.41","2895"
"29 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","103295.00","105072.00","103068.00","104857.00","103147.00","2554","2554.000 GRMS ","265997.71","2718"
"28 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102388.00","103177.00","102349.00","103147.00","102533.00","1565","1565.000 GRMS ","160912.60","2120"
"27 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101501.00","102560.00","101501.00","102533.00","102083.00","520","520.000 GRMS ","53189.06","1572"
"26 Aug 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101800.00","102190.00","101680.00","102083.00","101569.00","1100","1100.000 GRMS ","112135.25","1519"
